position,token_id,token_char,token_loss,gradcam_gini,gradcam_peak,gradcam_coverage,gradcam_entropy,attention_gini,attention_peak,attention_coverage,attention_entropy,sample_id,image_cer
13,3494,gan,10.776900291442871,0.7549106753923669,1.0,0.07291666666666667,0.8219369049258416,0.5072211834827391,1.0,0.024305555555555556,0.9210328810029724,0,0.21212121212121213
14,282,n,11.837264060974121,0.7660970200314008,1.0,0.1076388888888889,0.815115908427271,0.4821279308215205,1.0,0.04513888888888889,0.929192464867901,0,0.21212121212121213
15,3648,ati,10.303203582763672,0.755670551910391,1.0,0.057291666666666664,0.8218540825051467,0.39338576860557506,1.0,0.04513888888888889,0.9476691416527986,0,0.21212121212121213
16,1589, /,12.912808418273926,0.45976763966287604,1.0,0.13368055555555555,0.9406182829286762,0.6428386969490913,1.0,0.03819444444444445,0.8569308780756101,0,0.21212121212121213
17,2,</s>,2.0258100032806396,0.46185581481617777,1.0,0.1996527777777778,0.9415302298000233,0.5497855094647319,1.0,0.03298611111111111,0.8934432622714518,0,0.21212121212121213
0,0,<s>,0.08406110852956772,0.940083939746017,1.0,0.04861111111111111,0.5874445009475345,0.5775700483273329,1.0,0.020833333333333332,0.8854544246288979,1,0.125
1,0,<s>,7.678525924682617,0.8616648741214521,1.0,0.015625,0.7286690315629544,0.5851734932739456,1.0,0.034722222222222224,0.8915706053281672,1,0.125
2,9232,def,13.960073471069336,0.7063009332269992,1.0,0.10243055555555555,0.8482366244712861,0.4746914418145076,1.0,0.026041666666666668,0.926576731767929,1,0.125
3,1397,end,11.600396156311035,0.5944789689435317,1.0,0.14756944444444445,0.8991301017446007,0.44704549662150095,1.0,0.046875,0.9392905735070654,1,0.125
4,1728,ane,15.451333999633789,0.7252447283674541,1.0,0.11458333333333333,0.8396354710699353,0.40773195338461554,1.0,0.04861111111111111,0.947663440109345,1,0.125
5,897, la,15.369575500488281,0.49796357559072235,1.0,0.2725694444444444,0.9269863426528874,0.5988714332763518,1.0,0.026041666666666668,0.883729782754482,1,0.125
6,326, t,14.93102741241455,0.508558815612153,1.0,0.0625,0.9220980943647903,0.5903330381514358,1.0,0.027777777777777776,0.8870347274295665,1,0.125
7,4324,ua,14.43118667602539,0.6032530770110314,1.0,0.1267361111111111,0.8968256279050119,0.4558105879356813,1.0,0.043402777777777776,0.933466746950412,1,0.125
8,17227, gran,14.712079048156738,0.7279771200073171,1.0,0.14930555555555555,0.8305891471573493,0.5076559819861577,1.0,0.041666666666666664,0.9250679233213566,1,0.125
9,4852, bail,12.099930763244629,0.7604235663088179,1.0,0.13020833333333334,0.8146239252434692,0.501991243380042,1.0,0.03125,0.9192793563097454,1,0.125
